scorer,,,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg
bodyparts,,,Neck,Neck,Tailset,Tailset,LeftFrontPaw,LeftFrontPaw,RightFrontPaw,RightFrontPaw,leftBackPaw,leftBackPaw,RightBackPaw,RightBackPaw
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,testDogVideo_raw02100840,img0057.png,,,,,164.33273435198237,154.67621555713697,141.89913289426568,152.39483235804715,,,,
labeled-data,testDogVideo_raw02100840,img0179.png,133.53406116426962,56.19650746309248,191.32910220787875,63.04065706036199,123.64806730154699,130.72169196669373,,,197.41279073878496,123.87754236942422,189.42794954197055,117.03339277215474
labeled-data,testDogVideo_raw02100840,img0292.png,138.47705809563092,80.15103105353575,,,154.8269710224414,136.80538049759994,145.70143822608208,128.06007823442226,211.10108993332398,125.01823396896916,169.65596181652532,125.01823396896916
labeled-data,testDogVideo_raw02100840,img0327.png,135.43521383017782,59.2383517285456,206.15809300196267,63.42088759354363,153.30604888971484,137.56584156396323,131.2526779651798,126.91938663487733,198.55348233832987,127.29961716805897,211.10108993332398,132.62284463260193
labeled-data,testDogVideo_raw02100840,img0341.png,131.63290849836142,57.71742959581905,201.21509607060136,64.18134865990692,121.36668410245717,135.66468889805503,,,204.63717086923612,133.38330569896522,198.17325180514823,126.15892556851406
labeled-data,testDogVideo_raw02100840,img0533.png,128.97129476608995,94.98002184761967,182.9640304778827,111.71016530761179,71.55648425566247,139.0867636966898,75.7390201206605,128.4403087676039,,,,
labeled-data,testDogVideo_raw02100840,img0585.png,81.82270865156671,72.16618985672133,160.530429020166,67.98365399172329,87.90639718247294,133.76353623214683,,,156.7281236883496,130.34146143351208,,
labeled-data,testDogVideo_raw02100840,img0703.png,156.34789315516795,61.13950439445379,,,145.70143822608208,126.15892556851406,,,203.11624873650953,115.13224010624654,170.79665341607023,111.71016530761179
labeled-data,testDogVideo_raw02100840,img0800.png,190.1884106083338,56.576737996274126,127.83060316654503,64.94180972627018,192.46979380742366,119.6950065044262,184.8651831437909,126.53915610169571,128.5910642329083,128.4403087676039,138.47705809563092,134.14376676532848
labeled-data,testDogVideo_raw02100840,img0940.png,228.21146392649771,56.19650746309248,177.64080301333973,95.36025238080131,,,237.7172272560387,126.53915610169571,212.62201206605053,120.83569810397111,220.2266227296833,127.67984770124062
labeled-data,testDogVideo_raw02100840,img1047.png,226.69054179377116,56.19650746309248,165.85365648470892,66.46273185899673,211.86155099968724,119.31477597124456,228.97192499286098,126.91938663487733,163.5722732856191,126.91938663487733,176.11988088061318,133.00307516578357
labeled-data,testDogVideo_raw02100840,img1100.png,,,,,181.0628778119745,126.15892556851406,170.03619234970697,120.45546757078947,,,,
labeled-data,testDogVideo_raw02100840,img1244.png,152.54558782335158,59.618582261727234,,,162.05135115289255,138.3263026303265,137.33636649608601,136.42514996441832,186.0058747433358,122.35662023669767,173.45826714834172,115.51247063942816
labeled-data,testDogVideo_raw02100840,img1336.png,,,,,151.40489622380665,142.50883849532454,119.08530090336733,139.84722476305308,,,,
labeled-data,testDogVideo_raw02100840,img1373.png,,,,,109.19930704064471,169.88543688440254,81.06224758520344,163.80174835349632,,,,
labeled-data,testDogVideo_raw02100840,img1460.png,,,,,78.7808643861136,165.32267048622288,109.57953757382636,173.3075116830373,130.11198636563486,128.82053930078553,151.40489622380665,133.00307516578357
