scorer,,,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg,Joerg
bodyparts,,,Neck,Neck,Tailset,Tailset,LeftFrontPaw,LeftFrontPaw,RightFrontPaw,RightFrontPaw,leftBackPaw,leftBackPaw,RightBackPaw,RightBackPaw
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,testDogVideo_raw02110900,img0014.png,,,,,109.70160107389282,135.99782115618856,80.77703877315227,139.56875477356394,,,,
labeled-data,testDogVideo_raw02110900,img0084.png,,,112.91544132953065,57.08018821219272,,,,,109.70160107389282,124.92792694232489,131.84138950162014,125.9992070275375
labeled-data,testDogVideo_raw02110900,img0154.png,131.84138950162014,57.794374935667804,130.05592269293246,115.28640617541137,,,,,,,,
labeled-data,testDogVideo_raw02110900,img0220.png,161.48013852583574,52.080881147867196,94.34658651917869,63.50786872346841,,,162.90851197278593,125.2850203040624,100.0600803069793,117.42896634583659,91.13274626354085,127.78467383622518
labeled-data,testDogVideo_raw02110900,img0234.png,156.83792482324776,56.00890812698011,93.6323997957036,62.079495276518266,,,163.622698696261,124.57083358058735,98.98880022176667,117.07187298409906,90.06146617832825,127.78467383622518
labeled-data,testDogVideo_raw02110900,img0277.png,159.33757835541053,54.93762804176749,121.12858864949402,109.93000574934831,,,163.97979205799854,123.85664685711227,,,155.0524580145601,128.14176719796274
labeled-data,testDogVideo_raw02110900,img0407.png,218.61507640384178,56.366001488717636,154.338271291085,67.43589570258132,,,225.39985027685503,118.14315306931165,,,155.40955137629766,127.0704871127501
labeled-data,testDogVideo_raw02110900,img0500.png,151.83861775892223,50.652507700917035,214.6870494247289,60.651121829568076,153.62408456760994,126.71339375101257,,,210.40192908387846,125.99920702753748,,
labeled-data,testDogVideo_raw02110900,img0519.png,148.26768414154685,51.009601062654575,215.0441427864664,60.29402846783055,154.33827129108502,127.0704871127501,,,209.68774236040338,126.35630038927503,203.61715521086523,116.71477962236152
labeled-data,testDogVideo_raw02110900,img0671.png,132.91266958683275,58.50856165914287,163.26560533452346,107.43035221718553,116.12928158516847,126.71339375101257,112.20125460605554,119.57152651626183,135.76941648073307,124.57083358058736,129.69882933119493,116.00059289888645
labeled-data,testDogVideo_raw02110900,img0771.png,88.27599936964053,51.00960106265459,150.05315095023457,63.5078687234684,91.8469329870159,129.21304728317534,87.20471928442792,122.0711800484246,136.48360320420812,124.21374021884981,141.1258169067961,114.57221945193629
labeled-data,testDogVideo_raw02110900,img0911.png,132.19848286335764,58.151468297405344,,,140.41163018332105,142.0684083057267,110.41578779736787,137.06910124140117,186.11958048572586,128.85595392143782,163.9797920579985,119.21443315452426
labeled-data,testDogVideo_raw02110900,img1260.png,143.98256380069643,49.93832097744197,116.84346830864355,52.0808811478672,146.12512397112164,98.14592481200957,152.90989784413483,93.50371110942157,,,128.27045588424477,106.71616549371046
labeled-data,testDogVideo_raw02110900,img1285.png,175.40677963359974,56.0089081269801,,,177.9064331657625,127.78467383622517,170.4074725692742,139.92584813530146,160.40885844062313,119.92861987799934,125.77080235208199,125.64211366579997
labeled-data,testDogVideo_raw02110900,img1302.png,172.55003273969942,56.72309485045517,,,178.62061988923756,127.07048711275009,172.19293937796186,138.85456805008886,161.8372318875733,118.14315306931165,126.12789571381951,126.35630038927505
labeled-data,testDogVideo_raw02110900,img1320.png,171.4787526544868,56.72309485045517,,,178.62061988923756,127.42758047448764,171.12165929274926,139.21166141182638,161.48013852583574,118.85733979278673,126.8420824372946,125.28502030406241
labeled-data,testDogVideo_raw02110900,img1440.png,153.98117792934744,88.86149740683356,,,125.77080235208199,139.21166141182638,165.05107214321112,137.4261946031387,205.04552865781534,118.5002464310492,,
labeled-data,testDogVideo_raw02110900,img1584.png,202.90296848739013,68.15008242605639,,,209.33064899866582,140.282941497039,168.264912398849,136.3549145179261,182.19155350661293,121.71408668668703,150.76733767370962,124.21374021884981
